block 0000 | PDF 2 | trang 2 | BỘ CÔNG THƯƠNG
block 0220 | PDF 18 | trang 8 | Đề tài hướng đến phát hiện người điều khiển xe máy không đội mũ bảo hiểm. Tuy nhiên, việc xác định vùng đầu có liên quan đến xe chưa đủ để phân biệt chắc chắn người lái với người ngồi sau. Giới hạn này cần được làm rõ trong phần đánh giá, đặc biệt ở tình huống một xe chở nhiều người.
block 0221 | PDF 18 | trang 8 | Kết quả thống kê phản ánh dữ liệu đã được phân tích và cung cấp thông tin tham khảo cho người quản lý. Khi so sánh giữa các khu vực hoặc khung giờ, cần xem xét thời lượng quan sát, lưu lượng phương tiện và điều kiện ghi hình để tránh kết luận chỉ dựa trên tổng số trường hợp được ghi nhận.
block 0222 | PDF 19 | trang 9 | 1.3. Các hướng tiếp cận và nghiên cứu liên quan
block 0223 | PDF 19 | trang 9 | 1.3.1. Các hướng tiếp cận đối với bài toán
block 0224 | PDF 19 | trang 9 | Hướng tiếp cận trực tiếp là phát hiện vùng đầu và phân loại thành hai trạng thái: có đội mũ và không đội mũ bảo hiểm. Cách này có đầu ra đơn giản, thuận tiện cho việc xây dựng hệ thống nhận diện. Tuy nhiên, trạng thái không đội mũ chưa cho biết đối tượng có đang sử dụng xe máy hay không. Vì vậy, việc thống kê trực tiếp từ các vùng đầu được phát hiện có thể ghi nhận nhầm người đi bộ.
block 0225 | PDF 19 | trang 9 | Hướng tiếp cận kết hợp sử dụng thêm thông tin về phương tiện để xem xét mối quan hệ giữa vùng đầu và xe máy trước khi ghi nhận. Cách này hỗ trợ xác định ngữ cảnh của đối tượng, nhưng cần dữ liệu gán nhãn phù hợp và bước xử lý liên kết. Chất lượng kết quả phụ thuộc vào khả năng phát hiện xe máy, trạng thái đội mũ và độ chính xác khi ghép các đối tượng.
block 0226 | PDF 19 | trang 9 | Đối với video, kết quả phát hiện cần được xem xét qua nhiều khung hình để duy trì thông tin về cùng một đối tượng. Việc kết hợp theo dõi giúp hạn chế đếm trùng, nhưng vẫn có thể gặp khó khăn khi đối tượng bị che khuất hoặc nhiều phương tiện di chuyển gần nhau.
block 0227 | PDF 19 | trang 9 | 1.3.2. Một số nghiên cứu có liên quan
block 0228 | PDF 19 | trang 9 | Siebert và Lin [2] nghiên cứu việc tự động ghi nhận sử dụng mũ bảo hiểm từ video, có xem xét xe máy, số lượng và vị trí người trên xe. Công trình cho thấy cần đặt trạng thái đội mũ trong ngữ cảnh phương tiện và người liên quan. Aboah và cộng sự sử dụng YOLOv8 cho bài toán phát hiện vi phạm đội mũ, chú trọng lựa chọn mẫu khi dữ liệu gán nhãn còn hạn chế.
block 0229 | PDF 19 | trang 9 | Choi và Greer [3] kết hợp phát hiện và phân loại các đối tượng liên quan đến xe máy và trạng thái đội mũ. Nghiên cứu cũng đề cập những khó khăn do độ phân giải thấp và điều kiện quan sát hạn chế.
block 0230 | PDF 19 | trang 9 | Các công trình trên cung cấp cơ sở tham khảo về khai thác thông tin phương tiện, chuẩn bị dữ liệu và đánh giá trong các tình huống thực tế. Đối với đề tài, những nội dung này hỗ trợ xác định các vấn đề cần quan tâm khi lựa chọn giải pháp, đặc biệt là báo nhầm người đi bộ, đối tượng nhỏ và tình trạng che khuất.
block 0231 | PDF 19 | trang 9 | 1.4. Mô hình ban đầu và hướng phát triển của đề tài
block 0232 | PDF 20 | trang 10 | Hướng phát triển của đề tài xuất phát từ hạn chế được quan sát khi sử dụng mô hình hai lớp có sẵn. Mô hình cung cấp kết quả nhận diện trạng thái đội mũ, nhưng chưa có đầu ra riêng về xe máy để hỗ trợ xác định đối tượng liên quan. Vì vậy, đề tài bổ sung lớp xe máy (bike) và kết hợp xử lý liên kết, theo dõi đối tượng nhằm cải thiện việc ghi nhận các trường hợp không đội mũ trong ảnh và video.
block 0233 | PDF 20 | trang 10 | 1.4.1. Hạn chế của mô hình hai lớp
block 0234 | PDF 20 | trang 10 | Mô hình ban đầu nhận diện hai lớp helmet và no-helmet, trả về hộp giới hạn, nhãn và độ tin cậy của từng phát hiện. Qua thử nghiệm ban đầu, hệ thống có thể ghi nhận người đi bộ không đội mũ thành trường hợp không đội mũ khi đi xe máy. Nguyên nhân chính là đầu ra no-helmet được dùng trực tiếp để tạo bản ghi, trong khi mô hình chưa cung cấp vị trí xe máy. Một phát hiện có độ tin cậy cao vẫn có thể là vùng đầu của người đi bộ; chỉ tăng ngưỡng độ tin cậy không bổ sung được thông tin ngữ cảnh cần thiết.
block 0235 | PDF 20 | trang 10 | Cần phân biệt lỗi nhận diện đối tượng với lỗi suy luận ở cấp hệ thống. Vùng đầu người đi bộ được phát hiện là no-helmet có thể đúng theo nhãn mô hình, nhưng suy ra người đó điều khiển xe máy là không có căn cứ. Từ quan sát này, đề tài thay đổi điều kiện ghi nhận: trạng thái không đội mũ phải được xem xét cùng thông tin về phương tiện. Mô hình hai lớp được giữ làm phương án so sánh để xác định mức độ cải thiện và những đánh đổi của hướng phát triển.
block 0236 | PDF 20 | trang 10 | 1.4.2. Phát triển mô hình ba lớp và liên kết đối tượng
block 0237 | PDF 20 | trang 10 | Mô hình phát triển gồm helmet, no-helmet và bike. Việc bổ sung bike là mở rộng nhóm đối tượng nhận diện, không phải đề xuất kiến trúc mạng mới. Dữ liệu huấn luyện cần có nhãn xe máy nhất quán với hai lớp vùng đầu, đồng thời chứa các tình huống có người đi bộ gần xe, nhiều xe trong một ảnh và đối tượng bị che khuất. Nếu chỉ tập trung vào lớp mới, khả năng nhận diện helmet và no-helmet có thể suy giảm; do đó kết quả cần được đánh giá theo từng lớp trên cùng tập dữ liệu phù hợp. Bảng 1.1 đối chiếu đặc điểm của phương án ban đầu và hướng phát triển đề xuất.
block 0238 | PDF 20 | trang 10 | Bảng 1.1. Đối chiếu phương án ban đầu và hướng phát triển
block 0241 | PDF 21 | trang 11 | Việc bổ sung lớp xe máy tạo điều kiện cải thiện quy trình xử lý, nhưng chưa tự bảo đảm kết quả chính xác hơn. Hiệu quả cần được kiểm chứng trên cùng dữ liệu kiểm thử, đồng thời xem xét khả năng giảm báo nhầm và nguy cơ tăng bỏ sót.
block 0242 | PDF 21 | trang 11 | Trong nhánh xử lý có phát hiện xe máy, hệ thống liên kết vùng đầu với phương tiện dựa trên vị trí tương đối và khoảng cách. Trường hợp không phát hiện được xe được xử lý theo nhánh riêng và cần được đánh giá về nguy cơ ghi nhận nhầm người đi bộ.
block 0243 | PDF 21 | trang 11 | 1.4.3. Những khó khăn và giới hạn cần đánh giá
block 0244 | PDF 21 | trang 11 | Hệ thống vẫn tồn tại một số khó khăn cần được xem xét trong quá trình kiểm thử và đánh giá:
block 0245 | PDF 21 | trang 11 | Người đi bộ gần xe máy: Có thể bị liên kết nhầm với phương tiện nếu đứng hoặc di chuyển quá gần xe.
block 0246 | PDF 21 | trang 11 | Phân biệt người lái và người ngồi sau: Mô hình chưa có nhãn riêng cho từng vai trò nên chưa thể xác định chắc chắn người điều khiển.
block 0247 | PDF 21 | trang 11 | Che khuất và chất lượng hình ảnh: Ảnh nhòe, ánh sáng yếu, vùng đầu nhỏ hoặc xe bị che khuất có thể làm giảm khả năng nhận diện và liên kết.
block 0248 | PDF 21 | trang 11 | Sai số theo dõi và đếm: Hệ thống có thể mất hoặc gán nhầm mã đối tượng, dẫn đến đếm trùng hoặc gộp nhầm.
block 0249 | PDF 21 | trang 11 | Ảnh hưởng đến thống kê: Sai số nhận diện, liên kết và theo dõi có thể làm sai lệch kết quả theo địa điểm và thời gian.
block 0250 | PDF 21 | trang 11 | 1.5. Kết luận chương
block 0251 | PDF 21 | trang 11 | Chương 1 đã xác định nhu cầu hỗ trợ ghi nhận trường hợp không đội mũ bảo hiểm từ ảnh, video, lưu minh chứng và tổng hợp kết quả theo địa điểm, thời gian. Hạn chế của mô hình hai lớp là nhãn no-helmet không cho biết vùng đầu có thuộc người đi xe máy hay không, nên việc ghi nhận trực tiếp có thể nhầm người đi bộ. Hướng phát triển của đề tài là bổ sung lớp bike, kiểm tra quan hệ giữa vùng đầu và xe máy, kết hợp tracking và xác nhận trạng thái trong video.
block 0252 | PDF 22 | trang 12 | Các giới hạn về người đi bộ gần xe, phân biệt người lái với người ngồi sau, che khuất và sai số đếm cần được kiểm chứng bằng thực nghiệm. Kết quả thống kê chỉ có ý nghĩa trong phạm vi dữ liệu đã phân tích và phải được người dùng kiểm tra khi dùng cho tuyên truyền hoặc tham khảo bố trí giám sát. Những nội dung này là cơ sở để trình bày lý thuyết, công nghệ và thiết kế hệ thống ở các chương tiếp theo.
block 0254 | PDF 23 | trang 13 | CHƯƠNG 2. CƠ SỞ LÝ THUYẾT VÀ CÔNG NGHỆ SỬ DỤNG
block 0255 | PDF 23 | trang 13 | 2.1. Cơ sở bài toán và huấn luyện tinh chỉnh mô hình YOLO	
block 0256 | PDF 23 | trang 13 | Hệ thống kết hợp mô hình YOLO với các bước xử lý sau nhận diện. Mô hình xác định vị trí xe máy, vùng đầu và trạng thái đội mũ; quy tắc liên kết và theo dõi giúp xác định trường hợp cần ghi nhận. Phần này trình bày cơ sở phát hiện đối tượng, dữ liệu gán nhãn và cách huấn luyện tinh chỉnh từ checkpoint hai lớp sang mô hình ba lớp.
block 0257 | PDF 23 | trang 13 | 2.1.1. Giới thiệu bài toán phát hiện đối tượng và ứng dụng vào đề tài
block 0258 | PDF 23 | trang 13 | Phát hiện đối tượng (Object detection) là bài toán thuộc lĩnh vực thị giác máy tính, nhằm xác định các đối tượng xuất hiện trong ảnh và vị trí của từng đối tượng. Bài toán thực hiện đồng thời hai nhiệm vụ:
block 0259 | PDF 23 | trang 13 | Phân loại đối tượng: xác định đối tượng thuộc lớp nào trong tập các lớp cần nhận diện.
block 0260 | PDF 23 | trang 13 | Định vị đối tượng: xác định vùng ảnh chứa đối tượng, thường được biểu diễn bằng khung giới hạn (bounding box).
block 0261 | PDF 23 | trang 13 | Khung giới hạn là hình chữ nhật bao quanh đối tượng, được mô tả bằng tọa độ và kích thước. Mỗi đối tượng được phát hiện có một khung giới hạn và nhãn lớp tương ứng. Trong một ảnh có thể xuất hiện nhiều đối tượng thuộc cùng lớp hoặc khác lớp, với vị trí và kích thước không đồng nhất.
block 0262 | PDF 23 | trang 13 | Khó khăn của bài toán đến từ sự thay đổi về góc nhìn, ánh sáng, kích thước và mức độ che khuất. Các đối tượng nhỏ, nằm sát nhau hoặc chỉ xuất hiện một phần có thể khó được nhận biết và định vị chính xác. Vì vậy, chất lượng phát hiện cần được xem xét đồng thời ở khả năng phân loại đúng, xác định vị trí phù hợp và hạn chế các trường hợp báo nhầm, bỏ sót.
block 0263 | PDF 23 | trang 13 | 2.1.2. Tổng quan mô hình YOLO và các thông tin đầu ra
block 0264 | PDF 23 | trang 13 | YOLO (You Only Look Once) [4] là họ mô hình phát hiện đối tượng dựa trên học sâu. Nguyên lý cơ bản là sử dụng một mạng nơ-ron để dự đoán vị trí và lớp của các đối tượng từ toàn bộ ảnh trong một lần truyền tiến. Cách tiếp cận này cho phép thực hiện đồng thời việc định vị và phân loại nhiều đối tượng.
block 0265 | PDF 23 | trang 13 | 2.1.2.1. Cấu trúc tổng quát
block 0266 | PDF 23 | trang 13 | Ở các mô hình YOLO hiện đại [5], kiến trúc có thể được trình bày theo ba thành phần chính được mô tả như trong hình 2.1:
block 0268 | PDF 24 | trang 14 | Hình 2.1. Kiến trúc xử lý tổng quát của mô hình YOLO
block 0269 | PDF 24 | trang 14 | Backbone: Trích xuất các đặc trưng từ hình ảnh như cạnh, màu sắc và hình dạng. 
block 0270 | PDF 24 | trang 14 | Neck: Kết hợp đặc trưng ở nhiều tỉ lệ, hỗ trợ nhận diện cả đối tượng lớn và nhỏ. 
block 0271 | PDF 24 | trang 14 | Detection Head: Dự đoán khung giới hạn, tên lớp và độ tin cậy.
block 0272 | PDF 24 | trang 14 | 2.1.2.2. Xử lý kết quả dự đoán
block 0273 | PDF 24 | trang 14 | Trong quy trình phát hiện của YOLOv8, các dự đoán có điểm tin cậy thấp được loại bỏ theo một ngưỡng xác định. Thuật toán Non-Maximum Suppression (NMS) tiếp tục giảm các khung dự đoán trùng lặp bằng cách ưu tiên khung có điểm cao và loại những khung cùng lớp có mức chồng lấp vượt ngưỡng.
block 0274 | PDF 24 | trang 14 | 2.1.2.3. Các thông tin đầu ra
block 0275 | PDF 24 | trang 14 | Sau quá trình xử lý, mỗi đối tượng được phát hiện có ba thông tin chính:
block 0276 | PDF 24 | trang 14 | Khung giới hạn: biểu diễn vị trí và kích thước của vùng đối tượng trong ảnh.
block 0277 | PDF 24 | trang 14 | Nhãn lớp: xác định loại đối tượng mà mô hình dự đoán.
block 0278 | PDF 24 | trang 14 | Độ tin cậy: điểm số thể hiện mức độ tin tưởng của mô hình đối với dự đoán.
block 0279 | PDF 25 | trang 15 | Tập hợp các kết quả này mô tả những đối tượng được phát hiện trong ảnh và cung cấp dữ liệu cho các bước phân tích tiếp theo.
block 0280 | PDF 25 | trang 15 | 2.1.3. Dữ liệu gán nhãn và phân chia tập dữ liệu
block 0281 | PDF 25 | trang 15 | 2.1.3.1. Dữ liệu gán nhãn
block 0282 | PDF 25 | trang 15 | Trong bài toán phát hiện đối tượng, dữ liệu gán nhãn gồm ảnh và thông tin mô tả các đối tượng xuất hiện trong ảnh. Mỗi đối tượng được xác định bằng nhãn lớp và khung giới hạn bao quanh đối tượng. Đây là dữ liệu chuẩn để mô hình học cách nhận biết đối tượng và xác định vị trí của chúng.
block 0283 | PDF 25 | trang 15 | Theo định dạng nhãn YOLO, mỗi đối tượng được biểu diễn trên một dòng với năm thành phần: class_id, x_center y_center, width height
block 0284 | PDF 57 | trang 47 | Trong đó:
block 0285 | PDF 25 | trang 15 | class_id: mã lớp của đối tượng, được đánh số từ 0.
block 0286 | PDF 25 | trang 15 | x_center, y_center: tọa độ tâm của khung giới hạn.
block 0287 | PDF 25 | trang 15 | width, height: chiều rộng và chiều cao của khung giới hạn.
block 0288 | PDF 25 | trang 15 | Các giá trị tọa độ và kích thước được chuẩn hóa về khoảng [0,1]. Tọa độ theo phương ngang và chiều rộng được chia cho chiều rộng ảnh; tọa độ theo phương dọc và chiều cao được chia cho chiều cao ảnh. Cách biểu diễn này giúp thống nhất định dạng nhãn giữa các ảnh có kích thước khác nhau. 
block 0289 | PDF 25 | trang 15 | Chất lượng nhãn ảnh hưởng trực tiếp đến quá trình học và đánh giá mô hình. Vì vậy, việc gán nhãn cần thống nhất cách xác định lớp, đặt khung giới hạn sát đối tượng và hạn chế bỏ sót các đối tượng thuộc phạm vi cần nhận diện.
block 0290 | PDF 25 | trang 15 | 2.1.3.2. Phân chia tập dữ liệu
block 0291 | PDF 25 | trang 15 | Dữ liệu thường được chia thành ba tập với các vai trò khác nhau:
block 0292 | PDF 25 | trang 15 | Tập huấn luyện (training set): được sử dụng để mô hình học đặc trưng và cập nhật trọng số thông qua quá trình tối ưu hàm mất mát.
block 0293 | PDF 25 | trang 15 | Tập xác thực (validation set): được sử dụng để theo dõi khả năng khái quát hóa trong quá trình huấn luyện, hỗ trợ điều chỉnh siêu tham số và lựa chọn mô hình.
block 0294 | PDF 25 | trang 15 | Tập kiểm thử (test set): được sử dụng để đánh giá mô hình sau khi hoàn tất quá trình huấn luyện và lựa chọn. Tập này không tham gia vào việc điều chỉnh mô hình. 
block 0295 | PDF 26 | trang 16 | Tỷ lệ phân chia phụ thuộc vào quy mô và đặc điểm dữ liệu. Các tập cần có đủ mẫu đại diện cho các lớp và điều kiện quan sát cần đánh giá.
block 0296 | PDF 26 | trang 16 | Đặc biệt, cần tránh để ảnh trùng lặp hoặc những mẫu quá giống nhau xuất hiện đồng thời trong tập huấn luyện và tập đánh giá. Với dữ liệu trích xuất từ video, các khung hình liền kề thường có nội dung tương tự nên cần được xem xét phân chia theo nhóm. Việc bảo đảm tính độc lập giữa các tập giúp hạn chế rò rỉ dữ liệu và tránh kết quả đánh giá cao hơn khả năng thực tế của mô hình.
block 0297 | PDF 26 | trang 16 | 2.1.4. Học chuyển giao và tinh chỉnh mô hình khi thay đổi số lớp
block 0298 | PDF 26 | trang 16 | Học chuyển giao [6] là phương pháp tận dụng trọng số của mô hình đã huấn luyện để hỗ trợ giải quyết nhiệm vụ mới. Trong phát hiện đối tượng, các trọng số này chứa thông tin về những đặc trưng hình ảnh như cạnh, kết cấu và hình dạng. Sử dụng trọng số có sẵn làm điểm khởi tạo có thể giảm nhu cầu huấn luyện từ đầu và giúp mô hình thích nghi với dữ liệu mới.
block 0299 | PDF 26 | trang 16 | Huấn luyện tinh chỉnh [7] tiếp tục cập nhật một phần hoặc toàn bộ trọng số trên tập dữ liệu của nhiệm vụ mới. Tùy đặc điểm dữ liệu, một số lớp có thể được đóng băng để giữ nguyên trọng số, trong khi các lớp còn lại được điều chỉnh. Cách tiếp cận này cho phép mô hình kế thừa kiến thức đã học và thích nghi với đối tượng, điều kiện quan sát mới.
block 0300 | PDF 26 | trang 16 | Khi số lớp đối tượng thay đổi, phần dự đoán lớp phải được điều chỉnh để phù hợp với tập nhãn mới. Những trọng số có cấu trúc và kích thước tương thích có thể được kế thừa; các tham số không tương thích cần được khởi tạo lại hoặc xử lý theo cơ chế của mô hình và thư viện. Vì vậy, việc bổ sung lớp đòi hỏi huấn luyện trên dữ liệu tương ứng, không chỉ thay đổi tên lớp trong cấu hình.
block 0301 | PDF 26 | trang 16 | Ở mức tổng quát, hàm mục tiêu của quá trình tinh chỉnh được biểu diễn như sau:
block 0303 | PDF 57 | trang 47 | Trong đó: 
block 0304 | PDF 26 | trang 16 | θ:  tập tham số được tối ưu 
block 0305 | PDF 26 | trang 16 | N: số ảnh huấn luyện; 
block 0306 | PDF 26 | trang 16 | xᵢ: : ảnh huấn luyện thứ i; 
block 0307 | PDF 26 | trang 16 | Yᵢ: nhãn đối chứng của các đối tượng trong ảnh thứ i
block 0308 | PDF 27 | trang 17 | fθ(xᵢ): kết quả dự đoán của mô hình trên ảnh thứ i;
block 0309 | PDF 27 | trang 17 | ℒdet: hàm mất mát của nhiệm vụ phát hiện đối tượng
block 0310 | PDF 27 | trang 17 | 2.1.5. Các tham số huấn luyện và lựa chọn mô hình
block 0311 | PDF 27 | trang 17 | Các tham số huấn luyện ảnh hưởng đến quá trình học, nhu cầu tài nguyên và chất lượng của mô hình. Một số tham số cơ bản khi huấn luyện YOLO được trình bày trong đề tài được nêu trong bảng 2.1: 
block 0312 | PDF 27 | trang 17 | Bảng 2.1. Một số tham số huấn luyện cơ bản
block 0314 | PDF 27 | trang 17 | Trong quá trình huấn luyện, cần theo dõi đồng thời hàm mất mát trên tập huấn luyện và chất lượng dự đoán trên tập xác thực. Nếu kết quả trên tập huấn luyện tiếp tục cải thiện nhưng chất lượng trên tập xác thực giảm, mô hình có thể đang học quá khớp. Cơ chế dừng sớm giúp kết thúc huấn luyện khi chỉ số được theo dõi không cải thiện sau số lượt chờ đã cấu hình.
block 0315 | PDF 27 | trang 17 | Trạng thái mô hình được lưu tại một thời điểm trong quá trình huấn luyện được gọi là checkpoint. Hai tệp thường được sử dụng là last.pt, lưu trạng thái ở lượt huấn luyện cuối cùng, và best.pt, lưu trạng thái đạt kết quả tốt nhất theo tiêu chí mà bộ huấn luyện theo dõi. Vì vậy, mô hình được lựa chọn không nhất thiết nằm ở lượt cuối hoặc có giá trị mất mát trên tập huấn luyện thấp nhất.
block 0316 | PDF 27 | trang 17 | Sau khi lựa chọn bằng kết quả trên tập xác thực, mô hình cần được đánh giá trên tập kiểm thử độc lập. Tập kiểm thử không được sử dụng để điều chỉnh tham số hoặc lựa chọn mô hình, nhằm bảo đảm kết quả đánh giá phản ánh khả năng nhận diện trên dữ liệu chưa tham gia quá trình phát triển.
block 0317 | PDF 28 | trang 18 | 2.2. Cơ sở xử lý ảnh, video và theo dõi đối tượng
block 0318 | PDF 28 | trang 18 | 2.2.1. Tiền xử lý ảnh và lấy mẫu khung hình video
block 0319 | PDF 28 | trang 18 | Tiền xử lý ảnh gồm kiểm tra khả năng đọc dữ liệu, điều chỉnh kích thước và chuyển ảnh về định dạng phù hợp với mô hình. Khi thay đổi kích thước, cần giữ nguyên tỷ lệ chiều rộng và chiều cao để tránh biến dạng đối tượng. Giảm kích thước giúp giảm chi phí tính toán nhưng có thể làm mất chi tiết của các đối tượng nhỏ. Tọa độ khung giới hạn cũng cần được quy đổi phù hợp với ảnh dùng để hiển thị hoặc cắt vùng đối tượng.
block 0320 | PDF 28 | trang 18 | Đối với video [8], có thể chọn khung hình theo bước lấy mẫu thay vì nhận diện trên toàn bộ khung hình. Gọi s là bước lấy mẫu, các khung được chọn có chỉ số 0, s, 2s, … Với tốc độ khung hình ổn định, khoảng thời gian giữa hai khung được chọn và thời điểm của một khung hình được xác định bằng:
block 0322 | PDF 57 | trang 47 | Trong đó:
block 0323 | PDF 28 | trang 18 | s: bước lấy mẫu; s = 1 tương ứng với chọn toàn bộ khung hình.
block 0324 | PDF 28 | trang 18 | f: tốc độ video, tính bằng khung hình/giây.
block 0325 | PDF 28 | trang 18 | n: chỉ số khung hình, bắt đầu từ 0.
block 0326 | PDF 28 | trang 18 | Δt: khoảng thời gian giữa hai khung được chọn, tính bằng giây.
block 0328 | PDF 28 | trang 18 | Các giá trị thời gian trên thuộc dòng thời gian video, không phải thời gian máy tính xử lý. Tăng bước lấy mẫu giúp giảm số lần nhận diện nhưng có thể bỏ sót đối tượng xuất hiện ngắn và làm giảm khả năng duy trì theo dõi.
block 0329 | PDF 28 | trang 18 | 2.2.2. Nguyên tắc liên kết đối tượng theo quan hệ không gian
block 0330 | PDF 28 | trang 18 | Mô hình phát hiện đối tượng cung cấp vị trí, nhãn lớp và độ tin cậy của từng đối tượng, nhưng chưa trực tiếp xác định quan hệ giữa chúng. Liên kết theo quan hệ không gian sử dụng vị trí tương đối, khoảng cách hoặc mức độ chồng lấp giữa các vùng phát hiện để xác định những đối tượng có khả năng liên quan.
block 0333 | PDF 57 | trang 47 | Trong đó:
block 0337 | PDF 29 | trang 19 | Đối tượng thỏa mãn điều kiện được xem là ứng viên liên kết. Khi có nhiều ứng viên, có thể kết hợp khoảng cách và vị trí tương đối để lựa chọn quan hệ phù hợp. Các tọa độ phải được biểu diễn trong cùng hệ tọa độ ảnh.
block 0338 | PDF 29 | trang 19 | Không nên chỉ dựa vào mức độ chồng lấp, vì các đối tượng có quan hệ vẫn có thể nằm tách nhau trên ảnh. Đồng thời, sự gần nhau về vị trí chưa đủ để khẳng định quan hệ thực tế. Phương pháp này có thể liên kết nhầm khi đối tượng tập trung đông, bị che khuất hoặc góc quan sát thay đổi.
block 0339 | PDF 29 | trang 19 | 2.2.3. Theo dõi đối tượng bằng phương pháp Centroid Tracking
block 0340 | PDF 29 | trang 19 | Centroid Tracking [9] là phương pháp theo dõi đối tượng dựa trên vị trí tâm của khung giới hạn. Phương pháp liên kết các lần phát hiện qua những khung hình liên tiếp và duy trì mã định danh cho từng đối tượng, tạo cơ sở theo dõi chuyển động và hạn chế đếm trùng.
block 0343 | PDF 29 | trang 19 | Để ghép đối tượng đang theo dõi với phát hiện mới, phương pháp sử dụng khoảng cách Euclid giữa các tâm:
block 0345 | PDF 57 | trang 47 | Trong đó:
block 0349 | PDF 30 | trang 20 | Các cặp có khoảng cách phù hợp được lựa chọn để ghép, bảo đảm mỗi mã theo dõi chỉ gắn với tối đa một phát hiện trong một lần cập nhật. Phát hiện chưa ghép được có thể được cấp mã mới. Đối tượng không còn được phát hiện được giữ tạm thời và loại khỏi danh sách theo dõi khi vượt giới hạn mất dấu cho phép.
block 0350 | PDF 30 | trang 20 | Phương pháp có ưu điểm đơn giản, chi phí tính toán thấp nhưng dễ nhầm khi các đối tượng đi gần nhau, giao cắt hoặc bị che khuất. Một đối tượng mất dấu rồi được cấp mã mới có thể bị đếm lại. Trên cơ sở mã theo dõi, có thể kết hợp nhiều lần quan sát để xác nhận trạng thái và giảm ảnh hưởng của dự đoán nhất thời.
block 0351 | PDF 30 | trang 20 | 2.3. Công nghệ và công cụ xây dựng hệ thống
block 0352 | PDF 30 | trang 20 | 2.3.1. Công cụ và môi trường huấn luyện
block 0353 | PDF 30 | trang 20 | Python được sử dụng để xây dựng các chương trình huấn luyện và đánh giá mô hình nhờ hệ sinh thái thư viện hỗ trợ học sâu. Trong đó, Ultralytics cung cấp các chức năng nạp trọng số, huấn luyện, đánh giá và thực hiện dự đoán bằng mô hình YOLO, giúp thuận tiện trong quá trình tinh chỉnh mô hình trên dữ liệu mới.
block 0354 | PDF 30 | trang 20 | Google Colab là môi trường notebook trực tuyến, cho phép thực thi mã Python và sử dụng GPU khi được cấp tài nguyên. Công cụ này hỗ trợ huấn luyện và theo dõi kết quả mà không phụ thuộc hoàn toàn vào cấu hình máy tính cá nhân. Google Drive được sử dụng để lưu tập dữ liệu, trọng số và các tệp kết quả, phục vụ truy cập và sử dụng lại giữa các phiên làm việc.
block 0355 | PDF 30 | trang 20 | 2.3.2. Công nghệ xây dựng ứng dụng
block 0356 | PDF 30 | trang 20 | 	Ứng dụng sử dụng FastAPI[10] để xây dựng các API phía máy chủ bằng Python, thuận tiện cho việc tích hợp mô hình nhận diện và xử lý yêu cầu từ giao diện. Ultralytics hỗ trợ chạy dự đoán bằng mô hình đã huấn luyện, còn OpenCV cung cấp các chức năng đọc ảnh/video, lấy khung hình, thay đổi kích thước, vẽ kết quả và lưu dữ liệu hình ảnh.
block 0357 | PDF 30 | trang 20 | Phần giao diện được xây dựng bằng React, TypeScript và Vite[11]. React hỗ trợ tổ chức giao diện thành các thành phần có thể tái sử dụng; TypeScript bổ sung khả năng kiểm tra kiểu dữ liệu; Vite cung cấp công cụ phục vụ phát triển và đóng gói ứng dụng.
block 0358 | PDF 30 | trang 20 | Đối với lưu trữ dữ liệu, SQLAlchemy[12] hỗ trợ ánh xạ các đối tượng trong chương trình với bảng dữ liệu và thực hiện truy vấn. SQLite là hệ quản trị cơ sở dữ liệu lưu trên tệp, có cách triển khai đơn giản, phù hợp với quy mô đồ án. Việc kết hợp các công nghệ này hỗ trợ xây dựng ứng dụng có khả năng nhận diện, quản lý dữ liệu và cung cấp kết quả cho người dùng.
block 0359 | PDF 31 | trang 21 | 2.4. Các tiêu chí và chỉ số đánh giá
block 0360 | PDF 31 | trang 21 | 2.4.1. Các chỉ số đánh giá mô hình
block 0361 | PDF 31 | trang 21 | Chất lượng mô hình phát hiện đối tượng được đánh giá dựa trên khả năng xác định đúng vị trí, phân loại đúng đối tượng và hạn chế báo nhầm, bỏ sót. Các chỉ số thường được sử dụng gồm độ chồng lấp, độ chính xác, độ bao phủ và độ chính xác trung bình [13]
block 0362 | PDF 31 | trang 21 | 2.4.1.1. Độ chồng lấp giữa các khung giới hạn
block 0363 | PDF 31 | trang 21 | IoU (Intersection over Union) đo mức độ chồng lấp giữa khung dự đoán và khung đối chứng:
block 0365 | PDF 57 | trang 47 | Trong đó:
block 0370 | PDF 31 | trang 21 | Tại một ngưỡng độ tin cậy và ngưỡng IoU xác định, các dự đoán được đối chiếu với nhãn thực tế để phân thành ba trường hợp theo bảng 2.2 dưới đây:
block 0371 | PDF 31 | trang 21 | Bảng 2.2. Phân loại kết quả phát hiện đối tượng 
block 0374 | PDF 31 | trang 21 | Mỗi đối tượng đối chứng chỉ được ghép với tối đa một dự đoán đúng. Những dự đoán dư cho cùng đối tượng có thể được tính là FP.
block 0375 | PDF 32 | trang 22 | 2.4.1.2. Độ chính xác, độ bao phủ và mức độ cân bằng
block 0376 | PDF 32 | trang 22 | Độ chính xác (Precision) phản ánh tỷ lệ phát hiện đúng trong tổng số phát hiện mà mô hình đưa ra:
block 0378 | PDF 32 | trang 22 | Độ bao phủ (Recall)  phản ánh tỷ lệ đối tượng được phát hiện đúng trong tổng số đối tượng thực tế:
